GISLINK,FOLIO,PID,LEGAL_TYPE,UNIT,HOUSE,STREET,taxyear,assess_abbreviation,assess_type,land_gross,land_net,impr_gross,impr_net,Exemption,ObjectId
10713011,10713011,006-641-458,LAND,,2610,ROCK BAY AVE,2025,Business,GENERAL,1285000,1285000,2706000,2696000,10000,38
10713011,10713011,006-641-458,LAND,,2610,ROCK BAY AVE,2025,Business,SCHOOL,1285000,1285000,2706000,2696000,10000,39
10710010,10710010,007-700-431,LAND,,518,ELLICE ST,2025,Business,SCHOOL,1213000,1213000,5300,0,5300,40
10710011,10710011,007-700-148,LAND,,510,ELLICE ST,2025,Business,GENERAL,1213000,1213000,1700,0,1700,41
10713012,10713012,007-635-788,LAND,,584,JOHN ST,2025,Business,GENERAL,612000,612000,0,0,0,42
10710011,10710011,007-700-148,LAND,,510,ELLICE ST,2025,Business,SCHOOL,1213000,1213000,1700,0,1700,43
10713012,10713012,007-635-788,LAND,,584,JOHN ST,2025,Business,SCHOOL,612000,612000,0,0,0,44
10710012,10710012,007-700-016,LAND,,502,ELLICE ST,2025,Business,GENERAL,1127000,1127000,3600,0,3600,45
10713013,10713013,001-706-837,LAND,,580,JOHN ST,2025,Residential,GENERAL,612000,612000,313000,313000,0,46
10710012,10710012,007-700-016,LAND,,502,ELLICE ST,2025,Business,SCHOOL,1127000,1127000,3600,0,3600,47
10713013,10713013,001-706-837,LAND,,580,JOHN ST,2025,Residential,SCHOOL,612000,612000,313000,313000,0,48
000-195-120,10710013,000-195-120,STRATA,1,2925,BRIDGE ST,2025,Business,GENERAL,393000,393000,18800,8800,10000,49
000-195-120,10710013,000-195-120,STRATA,1,2925,BRIDGE ST,2025,Business,SCHOOL,393000,393000,18800,8800,10000,50
000-195-138,10710014,000-195-138,STRATA,2,2925,BRIDGE ST,2025,Business,GENERAL,376000,376000,18800,8800,10000,51
000-195-138,10710014,000-195-138,STRATA,2,2925,BRIDGE ST,2025,Business,SCHOOL,376000,376000,18800,8800,10000,52
000-195-154,10710015,000-195-154,STRATA,,2913,BRIDGE ST,2025,Business,GENERAL,380000,380000,18800,8800,10000,53
000-195-154,10710015,000-195-154,STRATA,,2913,BRIDGE ST,2025,Business,SCHOOL,380000,380000,18800,8800,10000,54
000-195-162,10710016,000-195-162,STRATA,,2909,BRIDGE ST,2025,Business,GENERAL,366000,366000,18800,8800,10000,55
000-195-162,10710016,000-195-162,STRATA,,2909,BRIDGE ST,2025,Business,SCHOOL,366000,366000,18800,8800,10000,56
000-195-189,10710017,000-195-189,STRATA,,2905,BRIDGE ST,2025,Business,GENERAL,395000,395000,18800,8800,10000,57
000-195-189,10710017,000-195-189,STRATA,,2905,BRIDGE ST,2025,Business,SCHOOL,395000,395000,18800,8800,10000,58
10710018,10710018,003-622-843,LAND,,2935,BRIDGE ST,2025,Business,GENERAL,2223000,2223000,1747000,1737000,10000,59
10710018,10710018,003-622-843,LAND,,2935,BRIDGE ST,2025,Business,SCHOOL,2223000,2223000,1747000,1737000,10000,60
10710022,10710022,024-194-743,LAND,,2929,BRIDGE ST,2025,Business,GENERAL,839000,839000,0,0,0,61
10710022,10710022,024-194-743,LAND,,2929,BRIDGE ST,2025,Business,SCHOOL,839000,839000,0,0,0,62
10710023,10710023,025-915-924,LAND,,525,GORGE RD E,2025,Business,GENERAL,5439000,5439000,3348000,3338000,10000,63
10710023,10710023,025-915-924,LAND,,525,GORGE RD E,2025,Business,SCHOOL,5439000,5439000,3348000,3338000,10000,64
10711005,10711005,001-007-611,LAND,,509,ELLICE ST,2025,Business,GENERAL,1224000,1224000,1391000,1381000,10000,65
10711005,10711005,001-007-611,LAND,,509,ELLICE ST,2025,Business,SCHOOL,1224000,1224000,1391000,1381000,10000,66
10711006,10711006,000-501-417,LAND,,515,ELLICE ST,2025,Business,GENERAL,1224000,1224000,1468000,1458000,10000,67
10711006,10711006,000-501-417,LAND,,515,ELLICE ST,2025,Business,SCHOOL,1224000,1224000,1468000,1458000,10000,68
10711007,10711007,005-168-309,LAND,,519,ELLICE ST,2025,Business,GENERAL,1224000,1224000,211000,201000,10000,69
10711007,10711007,005-168-309,LAND,,519,ELLICE ST,2025,Business,SCHOOL,1224000,1224000,211000,201000,10000,70
10711011,10711011,002-734-303,LAND,,2828,ROCK BAY AVE,2025,Residential,GENERAL,2650000,2650000,5541000,5541000,0,71
10711011,10711011,002-734-303,LAND,,2828,ROCK BAY AVE,2025,Residential,SCHOOL,2650000,2650000,5541000,5541000,0,72
10711012,10711012,009-327-894,LAND,,2808,ROCK BAY AVE,2025,Business,GENERAL,1224000,1224000,433000,423000,10000,73
10711012,10711012,009-327-894,LAND,,2808,ROCK BAY AVE,2025,Business,SCHOOL,1224000,1224000,433000,423000,10000,74
10711015,10711015,002-695-073,LAND,,560,DAVID ST,2025,Business,GENERAL,3260000,3260000,2914000,2904000,10000,75
10711015,10711015,002-695-073,LAND,,560,DAVID ST,2025,Business,SCHOOL,3260000,3260000,2914000,2904000,10000,76
10711017,10711017,009-327-371,LAND,,548,DAVID ST,2025,Light Ind,GENERAL,232000,232000,72800,62800,10000,77
10711017,10711017,009-327-371,LAND,,548,DAVID ST,2025,Business,GENERAL,1195000,1195000,374000,374000,0,78
10711017,10711017,009-327-371,LAND,,548,DAVID ST,2025,Light Ind,SCHOOL,232000,232000,72800,62800,10000,79
10711017,10711017,009-327-371,LAND,,548,DAVID ST,2025,Business,SCHOOL,1195000,1195000,374000,374000,0,80
10711018,10711018,004-092-465,LAND,,540,DAVID ST,2025,Business,GENERAL,816000,816000,448000,438000,10000,81
10711018,10711018,004-092-465,LAND,,540,DAVID ST,2025,Business,SCHOOL,816000,816000,448000,438000,10000,82
000-667-421,10711025,000-667-421,STRATA,,554,DAVID ST,2025,Business,GENERAL,526000,526000,42100,32100,10000,83
000-667-421,10711025,000-667-421,STRATA,,554,DAVID ST,2025,Business,SCHOOL,526000,526000,42100,32100,10000,84
000-667-404,10711026,000-667-404,STRATA,,552,DAVID ST,2025,Business,GENERAL,542000,542000,46300,36300,10000,85
000-667-404,10711026,000-667-404,STRATA,,552,DAVID ST,2025,Business,SCHOOL,542000,542000,46300,36300,10000,86
10711027,10711027,000-214-191,LAND,,580,DAVID ST,2025,Business,GENERAL,1285000,1285000,3303000,3293000,10000,87
10711027,10711027,000-214-191,LAND,,580,DAVID ST,2025,Business,SCHOOL,1285000,1285000,3303000,3293000,10000,88
10713014,10713014,009-328-246,LAND,,578,JOHN ST,2025,Business,GENERAL,1224000,1224000,768000,758000,10000,89
10713014,10713014,009-328-246,LAND,,578,JOHN ST,2025,Business,SCHOOL,1224000,1224000,768000,758000,10000,90
10713015,10713015,009-328-220,LAND,,570,JOHN ST,2025,Business,GENERAL,1224000,1224000,896000,886000,10000,91
10713015,10713015,009-328-220,LAND,,570,JOHN ST,2025,Business,SCHOOL,1224000,1224000,896000,886000,10000,92
10713016,10713016,009-328-190,LAND,,564,JOHN ST,2025,Light Ind,GENERAL,1224000,1224000,1102000,1092000,10000,93
10713016,10713016,009-328-190,LAND,,564,JOHN ST,2025,Light Ind,SCHOOL,1224000,1224000,1102000,1092000,10000,94
10713019,10713019,001-151-932,LAND,,561,HILLSIDE AVE,2025,Business,GENERAL,1859000,1859000,2202000,2192000,10000,95
10713019,10713019,001-151-932,LAND,,561,HILLSIDE AVE,2025,Business,SCHOOL,1859000,1859000,2202000,2192000,10000,96
10713020,10713020,003-563-022,LAND,,2605,BRIDGE ST,2025,Business,GENERAL,3848000,3848000,2948000,2938000,10000,97
10713020,10713020,003-563-022,LAND,,2605,BRIDGE ST,2025,Business,SCHOOL,3848000,3848000,2948000,2938000,10000,98
10713021,10713021,000-406-902,LAND,,2665,BRIDGE ST,2025,Business,GENERAL,3849000,3849000,1611000,1601000,10000,99
10713021,10713021,000-406-902,LAND,,2665,BRIDGE ST,2025,Business,SCHOOL,3849000,3849000,1611000,1601000,10000,100
10711028,10711028,004-130-324,LAND,,512,DAVID ST,2025,Business,GENERAL,1700,0,0,0,1700,101
10711028,10711028,004-130-324,LAND,,512,DAVID ST,2025,Business,SCHOOL,1700,0,0,0,1700,102
004-395-298,10711029,004-395-298,STRATA,,2825,BRIDGE ST,2025,Business,GENERAL,1182000,1182000,88900,78900,10000,103
004-395-298,10711029,004-395-298,STRATA,,2825,BRIDGE ST,2025,Business,SCHOOL,1182000,1182000,88900,78900,10000,104
004-395-301,10711030,004-395-301,STRATA,,506,DAVID ST,2025,Business,GENERAL,685000,685000,92300,82300,10000,105
004-395-301,10711030,004-395-301,STRATA,,506,DAVID ST,2025,Business,SCHOOL,685000,685000,92300,82300,10000,106
004-395-310,10711031,004-395-310,STRATA,,2825,BRIDGE ST,2025,Business,GENERAL,817000,817000,43400,33400,10000,107
004-395-310,10711031,004-395-310,STRATA,,2825,BRIDGE ST,2025,Business,SCHOOL,817000,817000,43400,33400,10000,108
004-395-328,10711032,004-395-328,STRATA,,2825,BRIDGE ST,2025,Business,GENERAL,537000,537000,52600,42600,10000,109
004-395-328,10711032,004-395-328,STRATA,,2825,BRIDGE ST,2025,Business,SCHOOL,537000,537000,52600,42600,10000,110
10711033,10711033,007-717-431,LAND,,534,DAVID ST,2025,Light Ind,GENERAL,370000,370000,100000,90000,10000,111
10711033,10711033,007-717-431,LAND,,534,DAVID ST,2025,Business,GENERAL,1260000,1260000,359000,359000,0,112
10711033,10711033,007-717-431,LAND,,534,DAVID ST,2025,Light Ind,SCHOOL,370000,370000,100000,90000,10000,113
10711033,10711033,007-717-431,LAND,,534,DAVID ST,2025,Business,SCHOOL,1260000,1260000,359000,359000,0,114
10711035,10711035,026-161-401,LAND,,522,DAVID ST,2025,Business,GENERAL,4491000,0,95600,48600,4538000,115
10711035,10711035,026-161-401,LAND,,522,DAVID ST,2025,Business,SCHOOL,4491000,0,95600,48600,4538000,116
V07111021,10711036,027-919-803,LAND,,535,ELLICE ST,2025,Residential,GENERAL,868000,0,2990000,0,3858000,117
V07111021,10711036,027-919-803,LAND,,535,ELLICE ST,2025,Supp Housing,GENERAL,1,0,1,0,2,118
V07111021,10711036,027-919-803,LAND,,535,ELLICE ST,2025,Residential,SCHOOL,868000,0,2990000,0,3858000,119
V07111021,10711036,027-919-803,LAND,,535,ELLICE ST,2025,Supp Housing,SCHOOL,1,0,1,0,2,120
10712002,10712002,002-437-414,LAND,,511,DAVID ST,2025,Business,GENERAL,3255000,3255000,2522000,2512000,10000,121
10712002,10712002,002-437-414,LAND,,511,DAVID ST,2025,Business,SCHOOL,3255000,3255000,2522000,2512000,10000,122
10712003,10712003,008-573-565,LAND,,531,DAVID ST,2025,Business,GENERAL,1224000,1224000,877000,867000,10000,123
10712003,10712003,008-573-565,LAND,,531,DAVID ST,2025,Business,SCHOOL,1224000,1224000,877000,867000,10000,124
10712004,10712004,002-126-087,LAND,,540,HILLSIDE AVE,2025,Business,GENERAL,4284000,4284000,3014000,3004000,10000,125
10712004,10712004,002-126-087,LAND,,540,HILLSIDE AVE,2025,Business,SCHOOL,4284000,4284000,3014000,3004000,10000,126
10712006,10712006,000-631-485,LAND,,545,DAVID ST,2025,Business,GENERAL,1224000,1224000,853000,843000,10000,127
10712006,10712006,000-631-485,LAND,,545,DAVID ST,2025,Business,SCHOOL,1224000,1224000,853000,843000,10000,128
10712009,10712009,009-328-114,LAND,,561,DAVID ST,2025,Business,GENERAL,1224000,1224000,1293000,1283000,10000,129
10712009,10712009,009-328-114,LAND,,561,DAVID ST,2025,Business,SCHOOL,1224000,1224000,1293000,1283000,10000,130
10712010,10712010,009-328-131,LAND,,565,DAVID ST,2025,Business,GENERAL,1224000,1224000,1695000,1685000,10000,131
10712010,10712010,009-328-131,LAND,,565,DAVID ST,2025,Business,SCHOOL,1224000,1224000,1695000,1685000,10000,132
10712014,10712014,005-518-253,LAND,,2716,ROCK BAY AVE,2025,Business,GENERAL,612000,612000,941000,931000,10000,133
10712014,10712014,005-518-253,LAND,,2716,ROCK BAY AVE,2025,Business,SCHOOL,612000,612000,941000,931000,10000,134
10712015,10712015,005-518-296,LAND,,2712,ROCK BAY AVE,2025,Business,GENERAL,938000,938000,410000,400000,10000,135
10712015,10712015,005-518-296,LAND,,2712,ROCK BAY AVE,2025,Business,SCHOOL,938000,938000,410000,400000,10000,136
10712016,10712016,005-518-318,LAND,,582,HILLSIDE AVE,2025,Business,GENERAL,674000,674000,37400,27400,10000,137
10712016,10712016,005-518-318,LAND,,582,HILLSIDE AVE,2025,Business,SCHOOL,674000,674000,37400,27400,10000,138
10712019,10712019,004-977-602,LAND,,564,HILLSIDE AVE,2025,Business,GENERAL,1224000,1224000,1114000,1104000,10000,139
10712019,10712019,004-977-602,LAND,,564,HILLSIDE AVE,2025,Business,SCHOOL,1224000,1224000,1114000,1104000,10000,140
10712021,10712021,000-811-084,LAND,,558,HILLSIDE AVE,2025,Business,GENERAL,1224000,1224000,374000,364000,10000,141
10708007,10708007,009-330-518,LAND,,665,GORGE RD E,2025,Residential,GENERAL,1366000,1366000,5300,5300,0,142
10712021,10712021,000-811-084,LAND,,558,HILLSIDE AVE,2025,Business,SCHOOL,1224000,1224000,374000,364000,10000,143
10712024,10712024,001-090-691,LAND,,538,HILLSIDE AVE,2025,Business,GENERAL,1224000,1224000,522000,512000,10000,144
10712024,10712024,001-090-691,LAND,,538,HILLSIDE AVE,2025,Business,SCHOOL,1224000,1224000,522000,512000,10000,145
10712025,10712025,003-409-368,LAND,,528,HILLSIDE AVE,2025,Business,GENERAL,1224000,1224000,1405000,1395000,10000,146
10712025,10712025,003-409-368,LAND,,528,HILLSIDE AVE,2025,Business,SCHOOL,1224000,1224000,1405000,1395000,10000,147
10712026,10712026,000-077-950,LAND,,518,HILLSIDE AVE,2025,Business,GENERAL,1224000,1224000,182000,172000,10000,148
10712026,10712026,000-077-950,LAND,,518,HILLSIDE AVE,2025,Business,SCHOOL,1224000,1224000,182000,172000,10000,149
10712027,10712027,000-075-515,LAND,,508,HILLSIDE AVE,2025,Business,GENERAL,1220000,1220000,1033000,1023000,10000,150
10712027,10712027,000-075-515,LAND,,508,HILLSIDE AVE,2025,Business,SCHOOL,1220000,1220000,1033000,1023000,10000,151
10708007,10708007,009-330-518,LAND,,665,GORGE RD E,2025,Residential,SCHOOL,1366000,1366000,5300,5300,0,152
10708008,10708008,001-421-204,LAND,,2700,GOVERNMENT ST,2025,Business,GENERAL,1635000,1635000,382000,372000,10000,153
10708008,10708008,001-421-204,LAND,,2700,GOVERNMENT ST,2025,Business,SCHOOL,1635000,1635000,382000,372000,10000,154
10708009,10708009,008-091-498,LAND,,650,HILLSIDE AVE,2025,Business,GENERAL,1582000,1582000,252000,242000,10000,155
10708009,10708009,008-091-498,LAND,,650,HILLSIDE AVE,2025,Business,SCHOOL,1582000,1582000,252000,242000,10000,156
10708010,10708010,003-687-741,LAND,,640,HILLSIDE AVE,2025,Business,GENERAL,918000,918000,327000,317000,10000,157
10708010,10708010,003-687-741,LAND,,640,HILLSIDE AVE,2025,Business,SCHOOL,918000,918000,327000,317000,10000,158
10708011,10708011,001-591-916,LAND,,638,HILLSIDE AVE,2025,Business,GENERAL,918000,918000,76400,66400,10000,159
10708011,10708011,001-591-916,LAND,,638,HILLSIDE AVE,2025,Business,SCHOOL,918000,918000,76400,66400,10000,160
10708012,10708012,000-106-747,LAND,,632,HILLSIDE AVE,2025,Residential,GENERAL,775000,775000,235000,235000,0,161
10708012,10708012,000-106-747,LAND,,632,HILLSIDE AVE,2025,Residential,SCHOOL,775000,775000,235000,235000,0,162
10708013,10708013,009-330-259,LAND,,628,HILLSIDE AVE,2025,Business,GENERAL,1060000,1060000,0,0,0,163
10708013,10708013,009-330-259,LAND,,628,HILLSIDE AVE,2025,Business,SCHOOL,1060000,1060000,0,0,0,164
10708018,10708018,001-469-878,LAND,,2717,ROCK BAY AVE,2025,Business,GENERAL,104000,104000,33600,23600,10000,165
10708018,10708018,001-469-878,LAND,,2717,ROCK BAY AVE,2025,Residential,GENERAL,490000,490000,158000,158000,0,166
10708018,10708018,001-469-878,LAND,,2717,ROCK BAY AVE,2025,Residential,SCHOOL,490000,490000,158000,158000,0,167
10708018,10708018,001-469-878,LAND,,2717,ROCK BAY AVE,2025,Business,SCHOOL,104000,104000,33600,23600,10000,168
10708019,10708019,007-095-007,LAND,,2721,ROCK BAY AVE,2025,Residential,GENERAL,595000,595000,349000,349000,0,169
10708019,10708019,007-095-007,LAND,,2721,ROCK BAY AVE,2025,Residential,SCHOOL,595000,595000,349000,349000,0,170
10708021,10708021,001-124-811,LAND,,643,DAVID ST,2025,Business,GENERAL,1910000,1910000,1616000,1606000,10000,171
10708021,10708021,001-124-811,LAND,,643,DAVID ST,2025,Business,SCHOOL,1910000,1910000,1616000,1606000,10000,172
10708022,10708022,004-059-590,LAND,,616,HILLSIDE AVE,2025,Business,GENERAL,3624000,3624000,848000,838000,10000,173
10708022,10708022,004-059-590,LAND,,616,HILLSIDE AVE,2025,Business,SCHOOL,3624000,3624000,848000,838000,10000,174
024-722-316,10708024,024-722-316,STRATA,1,615,DAVID ST,2025,Business,GENERAL,280000,280000,131000,121000,10000,175
024-722-316,10708024,024-722-316,STRATA,1,615,DAVID ST,2025,Business,SCHOOL,280000,280000,131000,121000,10000,176
024-722-324,10708025,024-722-324,STRATA,2,615,DAVID ST,2025,Business,GENERAL,291000,291000,146000,136000,10000,177
024-722-324,10708025,024-722-324,STRATA,2,615,DAVID ST,2025,Business,SCHOOL,291000,291000,146000,136000,10000,178
024-722-332,10708026,024-722-332,STRATA,3,615,DAVID ST,2025,Business,GENERAL,316000,316000,153000,143000,10000,179
024-722-332,10708026,024-722-332,STRATA,3,615,DAVID ST,2025,Business,SCHOOL,316000,316000,153000,143000,10000,180
10709001,10709001,005-960-606,LAND,,603,GORGE RD E,2025,Business,GENERAL,1580000,1580000,3500,0,3500,181
10709001,10709001,005-960-606,LAND,,603,GORGE RD E,2025,Business,SCHOOL,1580000,1580000,3500,0,3500,182
10709002,10709002,005-960-649,LAND,,617,GORGE RD E,2025,Business,GENERAL,2382000,2382000,16600,6600,10000,183
10709002,10709002,005-960-649,LAND,,617,GORGE RD E,2025,Business,SCHOOL,2382000,2382000,16600,6600,10000,184
10709003,10709003,009-330-089,LAND,,649,GORGE RD E,2025,Business,GENERAL,0,0,551000,0,551000,185
10709003,10709003,009-330-089,LAND,,649,GORGE RD E,2025,Residential,GENERAL,65300,0,72100,0,137400,186
10709003,10709003,009-330-089,LAND,,649,GORGE RD E,2025,Recreational,GENERAL,3201000,0,554000,0,3755000,187
10709003,10709003,009-330-089,LAND,,649,GORGE RD E,2025,Residential,SCHOOL,65300,0,72100,0,137400,188
10709003,10709003,009-330-089,LAND,,649,GORGE RD E,2025,Business,SCHOOL,0,0,551000,0,551000,189
10709003,10709003,009-330-089,LAND,,649,GORGE RD E,2025,Recreational,SCHOOL,3201000,0,554000,0,3755000,190
10710002,10710002,004-569-814,LAND,,511,GORGE RD E,2025,Business,GENERAL,1285000,1285000,686000,676000,10000,191
10710002,10710002,004-569-814,LAND,,511,GORGE RD E,2025,Business,SCHOOL,1285000,1285000,686000,676000,10000,192
10710004,10710004,001-395-947,LAND,,575,GORGE RD E,2025,Business,GENERAL,6292000,6292000,39100,29100,10000,193
10710004,10710004,001-395-947,LAND,,575,GORGE RD E,2025,Business,SCHOOL,6292000,6292000,39100,29100,10000,194
10710005,10710005,004-451-091,LAND,,595,GORGE RD E,2025,Business,GENERAL,2859000,2859000,4800,0,4800,195
10710005,10710005,004-451-091,LAND,,595,GORGE RD E,2025,Business,SCHOOL,2859000,2859000,4800,0,4800,196
10710006,10710006,007-699-981,LAND,,546,ELLICE ST,2025,Business,GENERAL,1142000,1142000,0,0,0,197
10710006,10710006,007-699-981,LAND,,546,ELLICE ST,2025,Business,SCHOOL,1142000,1142000,0,0,0,198
10710007,10710007,007-699-956,LAND,,544,ELLICE ST,2025,Business,GENERAL,1023000,1023000,0,0,0,199
10710007,10710007,007-699-956,LAND,,544,ELLICE ST,2025,Business,SCHOOL,1023000,1023000,0,0,0,200
017-727-804,10719040,017-727-804,STRATA,,481,JOHN ST,2025,Business,GENERAL,514000,514000,62000,52000,10000,201
017-727-804,10719040,017-727-804,STRATA,,481,JOHN ST,2025,Business,SCHOOL,514000,514000,62000,52000,10000,202
017-727-812,10719041,017-727-812,STRATA,,483,JOHN ST,2025,Business,GENERAL,462000,462000,62000,52000,10000,203
017-727-812,10719041,017-727-812,STRATA,,483,JOHN ST,2025,Business,SCHOOL,462000,462000,62000,52000,10000,204
017-727-821,10719042,017-727-821,STRATA,,485,JOHN ST,2025,Business,GENERAL,490000,490000,60900,50900,10000,205
017-727-821,10719042,017-727-821,STRATA,,485,JOHN ST,2025,Business,SCHOOL,490000,490000,60900,50900,10000,206
017-727-839,10719043,017-727-839,STRATA,,2524,BRIDGE ST,2025,Business,GENERAL,471000,471000,137000,127000,10000,207
017-727-839,10719043,017-727-839,STRATA,,2524,BRIDGE ST,2025,Business,SCHOOL,471000,471000,137000,127000,10000,208
017-727-847,10719044,017-727-847,STRATA,,2520,BRIDGE ST,2025,Business,GENERAL,489000,489000,69100,59100,10000,209
017-727-847,10719044,017-727-847,STRATA,,2520,BRIDGE ST,2025,Business,SCHOOL,489000,489000,69100,59100,10000,210
017-727-855,10719045,017-727-855,STRATA,,2516,BRIDGE ST,2025,Business,GENERAL,506000,506000,66800,56800,10000,211
017-727-855,10719045,017-727-855,STRATA,,2516,BRIDGE ST,2025,Business,SCHOOL,506000,506000,66800,56800,10000,212
017-727-863,10719046,017-727-863,STRATA,,2512,BRIDGE ST,2025,Business,GENERAL,563000,563000,76100,66100,10000,213
017-727-863,10719046,017-727-863,STRATA,,2512,BRIDGE ST,2025,Business,SCHOOL,563000,563000,76100,66100,10000,214
017-727-871,10719047,017-727-871,STRATA,,2508,BRIDGE ST,2025,Business,GENERAL,885000,885000,135000,125000,10000,215
017-727-871,10719047,017-727-871,STRATA,,2508,BRIDGE ST,2025,Business,SCHOOL,885000,885000,135000,125000,10000,216
017-727-880,10719048,017-727-880,STRATA,,496,BAY ST,2025,Business,GENERAL,823000,823000,107000,97000,10000,217
017-727-880,10719048,017-727-880,STRATA,,496,BAY ST,2025,Business,SCHOOL,823000,823000,107000,97000,10000,218
017-727-898,10719049,017-727-898,STRATA,,492,BAY ST,2025,Business,GENERAL,373000,373000,52700,42700,10000,219
017-727-898,10719049,017-727-898,STRATA,,492,BAY ST,2025,Business,SCHOOL,373000,373000,52700,42700,10000,220
017-727-901,10719050,017-727-901,STRATA,F,488,BAY ST,2025,Business,GENERAL,992000,992000,159000,149000,10000,221
017-727-901,10719050,017-727-901,STRATA,F,488,BAY ST,2025,Business,SCHOOL,992000,992000,159000,149000,10000,222
017-727-910,10719051,017-727-910,STRATA,E,488,BAY ST,2025,Business,GENERAL,475000,475000,64400,54400,10000,223
